-20.,-0.3007446506171528+0.9572441428745737*I
-19.96,-0.33890154939377987+0.9457262816911436*I
-19.92,-0.37651630695066407+0.9326955433700769*I
-19.88,-0.41352875174877635+0.9181727749102522*I
-19.84,-0.44987967849843546+0.9021812114112151*I
-19.8,-0.4855109369909227+0.8847464358162018*I
-19.76,-0.5203655272345084+0.8658963390006069*I
-19.72,-0.5543876932615891+0.845661076631273*I
-19.68,-0.5875230106896011+0.8240730202819265*I
-19.64,-0.619718476738282+0.8011667073461536*I
-19.6,-0.6509225916661744+0.7769787830581425*I
-19.56,-0.6810854383122331+0.7515479408780529*I
-19.52,-0.7101587651690467+0.7249148628089175*I
-19.48,-0.7380960679003373+0.6971221559420405*I
-19.44,-0.7648526594194294+0.6682142817494412*I
-19.4,-0.7903857381186402+0.638237484179199*I
-19.36,-0.8146544586847134+0.6072397170717851*I
-19.32,-0.8376200030071475+0.5752705687838963*I
-19.28,-0.8592456381660619+0.5423811811062473*I
-19.24,-0.879496771406367+0.5086241669241175*I
-19.2,-0.8983410069658656+0.47405352699284875*I
-19.16,-0.915748204309784+0.4387245641856048*I
-19.12,-0.9316905228293874+0.40269379398616933*I
-19.08,-0.9461424621662295+0.3660188539770236*I
-19.04,-0.9590809036145508+0.3287584123879988*I
-19.,-0.9704851538879175+0.290972073947128*I
-18.96,-0.9803369756636583+0.2527202839971693*I
-18.92,-0.9886206121953212+0.21406423224121274*I
-18.88,-0.9953228123575767+0.17506575567233357*I
-18.84,-1.0004328584791236+0.13578723839194992*I
-18.8,-1.0039425821319001+0.09629151143597421*I
-18.76,-1.005846372442757+0.05664175335161102*I
-18.72,-1.0061411842893906+0.016901390200475597*I
-18.68,-1.004826549192782-0.022866007973370003*I
-18.64,-1.0019045760250695-0.06259682948612633*I
-18.6,-0.9973799428363943-0.10222752097948148*I
-18.56,-0.9912598881650295-0.14169468763446524*I
-18.52,-0.9835542045296478-0.18093519715806733*I
-18.48,-0.9742752239089187-0.21988628213959477*I
-18.44,-0.9634377934363105-0.25848563796081214*I
-18.4,-0.9510592502068218-0.2966715205597665*I
-18.36,-0.9371593974628406-0.33438284789845396*I
